City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
longyearbyen,SJ,78.22,15.64,-0.4,84,90,4.7,1584329202
bandipur,NP,27.93,84.42,66.13,29,0,1.88,1584329280
ampanihy,MG,-24.7,44.75,68.59,97,4,5.14,1584329393
castro,BR,-24.79,-50.01,65.79,86,13,3.42,1584329253
bambous virieux,MU,-20.34,57.76,77,94,75,2.24,1584329364
vaini,TO,-21.2,-175.2,84.2,83,90,12.75,1584328949
eureka,US,40.8,-124.16,44.6,65,75,6.93,1584329388
anisoc,GQ,1.87,10.77,70.34,98,92,3.04,1584329394
bluff,NZ,-46.6,168.33,54,71,67,15.01,1584329224
destin,US,30.39,-86.5,69.01,82,1,3.36,1584329394
port elizabeth,ZA,-33.92,25.57,62.6,93,75,5.82,1584329217
lavrentiya,RU,65.58,-171,25.83,83,0,7.25,1584329395
coolum beach,AU,-26.53,153.1,77,66,57,3,1584329395
qaqortoq,GL,60.72,-46.03,21.2,67,22,29.26,1584329116
alofi,NU,-19.06,-169.92,84.2,79,100,5.82,1584329072
baracoa,CU,20.35,-74.5,75.58,80,21,18.3,1584329395
faanui,PF,-16.48,-151.75,83.32,71,8,10.18,1584329197
shenkursk,RU,62.11,42.9,20.98,73,94,14.54,1584329396
jiazi,CN,22.88,116.07,71.33,49,15,13.22,1584329396
marsa matruh,EG,31.35,27.25,51.8,93,0,4.54,1584329396
bolhrad,UA,45.68,28.61,23,67,0,8.05,1584329396
faya,SA,18.39,42.45,55.4,93,16,3.53,1584329213
udachnyy,RU,66.42,112.4,24.8,92,90,6.71,1584329396
souillac,MU,-20.52,57.52,75.99,94,75,2.24,1584328878
usinsk,RU,65.99,57.53,12.22,92,100,22.26,1584329397
challakere,IN,14.32,76.65,79.52,48,1,10.85,1584329397
port alfred,ZA,-33.59,26.89,63,98,100,10.76,1584329259
bathsheba,BB,13.22,-59.52,77,78,40,8.05,1584328886
hermanus,ZA,-34.42,19.23,64.63,77,50,32.01,1584328953
carnarvon,AU,-24.87,113.63,84.2,62,8,16.11,1584329023
kavieng,PG,-2.57,150.8,83.88,72,100,9.55,1584329074
pacific grove,US,36.62,-121.92,52,93,90,4.7,1584329398
saint-philippe,RE,-21.36,55.77,78.8,78,90,10.29,1584329289
barrow,US,71.29,-156.79,14,85,90,16.11,1584329233
riyadh,SA,24.69,46.72,60.8,51,0,4.7,1584329161
voyinka,UA,45.87,33.99,32.23,54,0,10.45,1584329399
ambulu,ID,-8.35,113.61,81.86,74,0,1.66,1584329399
lata,PT,40.16,-8.33,48,81,40,3.36,1584329219
neath,GB,51.66,-3.8,42.01,93,0,6.93,1584329399
itaituba,BR,-4.28,-55.98,69.91,98,100,1.61,1584329399
namatanai,PG,-3.67,152.43,85.71,71,91,13.4,1584329399
ingham,US,42.6,-84.38,32,74,1,4.7,1584329399
djenne,ML,13.91,-4.55,81.9,15,100,3.87,1584329399
mabaruma,GY,8.2,-59.78,71.62,98,64,2.17,1584329400
georgetown,MY,5.41,100.34,89.6,62,20,6.93,1584328672
copiapo,CL,-27.37,-70.33,62.6,82,0,6.93,1584329384
penzance,GB,50.12,-5.54,46,80,0,5.82,1584329394
tomatlan,MX,19.93,-105.25,69.26,92,56,1.72,1584329400
basco,PH,20.45,121.97,70.25,71,7,24.58,1584329313
poum,NC,-20.23,164.02,81.91,79,0,11.81,1584329401
ribeira grande,PT,38.52,-28.7,56.34,79,4,9.33,1584329297
kulhudhuffushi,MV,6.62,73.07,82.99,74,79,5.57,1584328841
caxito,AO,-8.58,13.66,78.8,88,40,4.7,1584329401
bengkulu,ID,-3.8,102.27,88.81,58,74,1.43,1584329109
yueyang,CN,29.33,113.09,63.34,51,100,3.18,1584329402
wenling,CN,28.37,121.36,64,58,0,5.01,1584329403
khatanga,RU,71.97,102.5,-25.28,93,19,11.5,1584328935
kodiak,US,57.79,-152.41,39.2,64,40,9.17,1584329403
tautira,PF,-17.73,-149.15,86,70,40,12.75,1584329272
brae,GB,60.4,-1.35,39.2,53,5,5.82,1584329403
avera,US,33.19,-82.53,63,82,90,9.17,1584329156
mar del plata,AR,-38,-57.56,60.01,93,0,2.24,1584329246
dinguiraye,GN,11.3,-10.72,71.73,20,100,2.08,1584329404
severo-kurilsk,RU,50.68,156.12,24.84,95,97,46.73,1584328678
pecos,US,31.42,-103.49,57,93,90,6.93,1584329132
meulaboh,ID,4.14,96.13,83.21,75,100,5.86,1584329068
bonavista,CA,48.65,-53.11,24.01,79,0,5.99,1584329399
east london,ZA,-33.02,27.91,69.26,71,97,11.86,1584329348
mahajanga,MG,-15.72,46.32,77,94,20,7.56,1584329405
salalah,OM,17.02,54.09,73.4,73,20,3.36,1584328954
richards bay,ZA,-28.78,32.04,77.61,79,53,26.69,1584329348
shenzhen,CN,22.55,114.07,75.2,47,43,11.18,1584328882
prince rupert,CA,54.32,-130.32,37.4,64,1,3.36,1584329405
hamilton,US,39.18,-84.53,42.01,86,90,3.36,1584329081
cayenne,GF,4.93,-52.33,77,88,75,6.62,1584329404
aljezur,PT,37.32,-8.8,48,73,0,28.5,1584329406
saskylakh,RU,71.92,114.08,-12.32,95,100,20.71,1584329406
tartagal,AR,-22.52,-63.8,69.82,99,46,3.69,1584329165
dargaville,NZ,-35.93,173.88,69.53,55,100,7.23,1584329406
san cristobal,VE,7.77,-72.22,77,69,20,4.7,1584329244
avarua,CK,-21.21,-159.78,84.2,79,100,6.93,1584329220
roald,NO,62.58,6.13,35.6,59,90,12.75,1584329407
cherskiy,RU,68.75,161.3,8.53,85,94,6.58,1584328652
port blair,IN,11.67,92.75,83.52,73,84,11.01,1584329206
goderich,CA,43.75,-81.72,28,72,13,5.99,1584329402
luanda,AO,-8.84,13.23,78.8,88,40,4.7,1584329407
te anau,NZ,-45.42,167.72,49.69,72,98,9.01,1584329347
vila velha,BR,-20.33,-40.29,77,88,20,3.36,1584329374
clyde river,CA,70.47,-68.59,-22,74,20,19.46,1584329223
mirnyy,RU,62.54,113.96,32,91,90,13.42,1584329408
hervey bay,AU,-25.3,152.85,82.4,45,75,17.22,1584329408
brandfort,ZA,-28.7,26.46,60.8,82,10,2.24,1584329408
luderitz,NA,-26.65,15.16,62.6,82,0,10.29,1584328956
saint george,US,37.1,-113.58,55.99,66,1,9.17,1584329315
sivaki,RU,52.63,126.75,20.68,89,78,0.65,1584329409
voi,KE,-3.39,38.56,72.36,92,100,2.17,1584329409
nyurba,RU,63.28,118.33,31.62,99,100,8.05,1584329363
san quintin,MX,30.48,-115.95,59.22,77,0,12.15,1584329353
pevek,RU,69.7,170.31,7.54,82,0,12.26,1584328824
batemans bay,AU,-35.72,150.18,69.01,55,57,5.01,1584329410
sitka,US,57.05,-135.33,42.8,77,1,11.41,1584329221
caravelas,BR,-17.71,-39.25,80.2,80,100,7.7,1584329062
lamesa,US,32.74,-101.95,44.6,94,90,10.29,1584329314
petropavlovsk-kamchatskiy,RU,53.05,158.65,35.6,100,90,15.66,1584329344
barreirinha,BR,-2.79,-57.07,70.86,95,95,2.82,1584329411
honningsvag,NO,70.98,25.97,26.55,70,100,4.88,1584329411
nome,US,64.5,-165.41,30.61,98,100,7.76,1584329128
damietta,EG,31.42,31.81,62.6,93,0,5.82,1584329056
hasaki,JP,35.73,140.83,57,46,75,12.75,1584329240
nekhayevskiy,RU,50.41,41.76,23,79,95,5.99,1584329412
klaksvik,FO,62.23,-6.59,33.8,69,100,19.46,1584329254
half moon bay,US,37.46,-122.43,51.01,70,90,4.7,1584329412
wamba,NG,8.93,8.6,70.25,15,43,1.99,1584329412
kytmanovo,RU,53.46,85.45,36.9,81,100,14.88,1584329412
colares,PT,38.8,-9.45,52,71,20,8.05,1584329412
grindavik,IS,63.84,-22.43,35.6,93,90,33.33,1584328899
altos,BR,-5.04,-42.46,75.2,94,90,3.36,1584329413
alexandria,EG,31.22,29.96,59,87,0,2.24,1584329154
gat,IL,31.61,34.76,57,93,37,2.24,1584329294
brewster,US,41.4,-73.62,43,32,1,4.7,1584329413
samfya,ZM,-11.36,29.56,65.35,98,100,5.82,1584329413
laguna,US,38.42,-121.42,51.8,93,75,8.05,1584329394
tezu,IN,27.92,96.17,72,65,100,1.25,1584329414
suba,PH,10.84,121.01,79.84,73,43,13.27,1584329414
geraldton,AU,-28.77,114.6,77,65,75,11.41,1584329045
merrill,US,45.18,-89.68,28.99,73,1,9.19,1584329414
payakumbuh,ID,-0.22,100.63,75.78,82,72,3.76,1584329259
arkhara,RU,49.42,130.08,17.02,81,11,5.06,1584329414
druzhba,UA,52.04,33.95,26.56,53,0,8.41,1584329415
sunyani,GH,7.34,-2.33,76.93,83,89,6.64,1584329415
nouadhibou,MR,20.93,-17.03,60.8,82,0,18.34,1584329324
vrangel,RU,42.73,133.08,29.95,63,100,20.74,1584329415
shimoda,JP,34.67,138.95,57.2,50,75,4.7,1584329388
noyabrsk,RU,63.2,75.45,-1.26,93,100,23.78,1584329416
the valley,AI,18.22,-63.06,77,73,20,5.82,1584329221
pangnirtung,CA,66.15,-65.71,-19.59,91,100,7.7,1584329016
robertsport,LR,6.75,-11.37,81.95,86,65,7.43,1584329416
sao filipe,CV,14.9,-24.5,70.61,72,14,20.02,1584329398
pahrump,US,36.21,-115.98,60.01,49,1,5.82,1584329317
zihuatanejo,MX,17.63,-101.55,82.4,78,5,5.82,1584329136
havre-saint-pierre,CA,50.23,-63.6,14,51,90,21.92,1584329417
kolpashevo,RU,58.31,82.91,34.27,96,100,17.74,1584329417
lucea,JM,18.45,-78.17,75.2,69,20,5.82,1584329417
cabo san lucas,MX,22.89,-109.91,70,72,75,3.36,1584328987
codrington,AU,-38.27,141.97,60.51,76,0,13.85,1584329039
chivay,PE,-15.64,-71.6,41.68,85,100,4.36,1584329418
deputatskiy,RU,69.3,139.9,-16.01,81,0,3.56,1584329057
komsomolskiy,UZ,40.43,71.72,55.4,46,100,6.93,1584329155
vanimo,PG,-2.67,141.3,76.68,89,100,6.42,1584329211
beyneu,KZ,45.32,55.2,44.2,68,75,5.61,1584329418
wankaner,IN,22.62,70.93,77,35,20,9.17,1584329418
at-bashi,KG,41.17,75.81,10.99,55,17,6.6,1584329419
urubicha,BO,-15.38,-62.95,74.5,96,97,2.98,1584329419
abu samrah,SY,35.3,37.18,51.85,86,2,4.85,1584329359
nelson bay,AU,-32.72,152.15,73.4,60,40,21.92,1584329419
tarko-sale,RU,64.92,77.78,-4.72,80,100,15.99,1584329419
mikkeli,FI,61.69,27.27,37.4,86,90,12.75,1584329420
fort-shevchenko,KZ,44.51,50.26,43.39,72,88,16.42,1584329420
leshukonskoye,RU,64.9,45.76,19.04,90,100,13.38,1584329415
zyryanka,RU,65.75,150.85,1.09,76,5,8.03,1584329253
ornskoldsvik,SE,63.29,18.72,33.8,58,25,17.22,1584329420
kaitangata,NZ,-46.28,169.85,53.01,80,100,1.99,1584329116
salta,AR,-24.79,-65.41,68,93,75,6.93,1584329420
burnie,AU,-41.07,145.92,64,66,78,13,1584329421
bilibino,RU,68.05,166.44,4.89,82,66,3.49,1584329331
keti bandar,PK,24.14,67.45,74.23,29,100,11.61,1584329421
dobryanka,RU,58.46,56.42,24.8,73,0,6.71,1584329421
cidreira,BR,-30.18,-50.21,74.34,91,100,14.25,1584329170
san carlos de bariloche,AR,-41.15,-71.31,48.2,66,0,4.7,1584329304
vanersborg,SE,58.38,12.32,42.01,93,100,5.82,1584329422
touros,BR,-5.2,-35.46,75.2,100,75,4.7,1584329338
hami,CN,42.8,93.45,47.59,18,0,3.09,1584329218
izmaylovo,RU,53.72,47.25,29.71,96,97,7.11,1584329422
namibe,AO,-15.2,12.15,75.52,78,100,5.86,1584329422
sanmenxia,CN,34.77,111.18,60.39,31,100,8.79,1584329422
grand gaube,MU,-20.01,57.66,75.99,94,75,2.24,1584329246
lagoa,PT,39.05,-27.98,60.76,75,0,14,1584329291
puerto madero,MX,14.72,-92.42,80.6,83,75,6.46,1584329423
norman wells,CA,65.28,-126.83,12.2,78,20,20.8,1584329423
kuytun,RU,54.34,101.5,30.47,98,100,6.08,1584329424
asau,RO,46.43,26.4,23,73,0,3.36,1584329079
hudson bay,CA,52.85,-102.38,10.87,88,100,10.22,1584329297
jasper,US,37.2,-94.35,42.8,81,90,3.36,1584329424
vardo,NO,70.37,31.11,26.46,57,100,5.1,1584328937
purna,IN,19.18,77.05,77,50,20,3.36,1584329424
tupiza,BO,-21.45,-65.72,52.27,82,100,8.59,1584329182
gilgit,PK,35.92,74.31,15.55,50,17,1.66,1584329398
hadejia,NG,12.45,10.04,65.23,14,19,7.2,1584329425
bulgan,MN,48.81,103.53,32.34,67,94,6.22,1584329425
sijunjung,ID,-0.69,100.95,80.82,77,25,2.19,1584329425
cabedelo,BR,-6.98,-34.83,77,94,75,4.7,1584329425
odienne,CI,9.51,-7.57,74.7,73,100,4.59,1584329426
kralendijk,BQ,12.15,-68.27,78.8,74,60,6.93,1584329426
lompoc,US,34.64,-120.46,54,93,90,10.29,1584329426
oblivskaya,RU,48.54,42.5,28.33,57,7,9.42,1584329427
yumen,CN,40.28,97.2,44.08,18,68,1.14,1584329427
omsukchan,RU,62.53,155.8,4.82,93,100,8.05,1584329427
nemuro,JP,43.32,145.57,30.2,63,75,3.36,1584329427
palembang,ID,-2.92,104.75,89.35,57,24,4.41,1584329427
morris,US,40.83,-74.53,46.4,24,1,9.17,1584329221
benguela,AO,-12.58,13.41,79.03,82,100,4.18,1584329427
bakchar,RU,57.02,82.07,33.03,87,100,18.95,1584329428
keetmanshoop,NA,-26.58,18.13,71.6,40,0,1.12,1584329105
alice springs,AU,-23.7,133.88,82.4,13,0,9.17,1584328955
matara,LK,5.95,80.54,84.54,67,0,2.89,1584329428
mataram,ID,-8.58,116.12,87.8,70,40,6.93,1584329428
vao,NC,-22.67,167.48,81.21,72,10,28.14,1584329067
alausi,EC,-2.2,-78.83,57.34,98,100,2.06,1584329429
presidencia roque saenz pena,AR,-26.79,-60.44,71.33,95,64,4.83,1584329279
ponta delgada,PT,37.73,-25.67,50,76,20,2.24,1584329408
antsohihy,MG,-14.88,47.99,72.27,98,78,3.98,1584329429
seddon,AU,-37.81,144.89,81,36,0,8.05,1584329429
ancud,CL,-41.87,-73.82,50,93,1,2.24,1584329167
sao gabriel da cachoeira,BR,-0.13,-67.09,75.97,92,100,2.19,1584329430
sudislavl,RU,57.88,41.71,20.75,85,0,3.33,1584329430
ursulo galvan,MX,22.73,-98.3,75,94,20,4.7,1584329430
flinders,AU,-34.58,150.86,73,72,75,12.75,1584329430
nagaur,IN,27.2,73.73,66.52,38,100,9.73,1584329430
ponta do sol,PT,32.67,-17.1,60.8,82,75,11.41,1584329431
ekuvukeni,ZA,-28.47,30.16,62.98,93,61,3.8,1584329431
mayo,US,38.89,-76.51,44.6,80,1,4.7,1584329314
george town,MY,5.41,100.34,89.6,59,20,4.7,1584329431
margate,GB,51.38,1.39,45,93,18,5.82,1584329208
lorengau,PG,-2.02,147.27,84.16,72,100,6.6,1584329431
fortuna,US,40.6,-124.16,44.6,80,20,9.17,1584329006
hobyo,SO,5.35,48.53,80.29,80,69,14.14,1584329300
chama,CH,47.18,8.46,39.99,68,0,1.12,1584329432
ossora,RU,59.24,163.07,31.73,97,100,26.22,1584329432
kropotkin,RU,45.44,40.58,36,49,100,9.46,1584329323
yar-sale,RU,66.83,70.83,-10.44,95,0,4.43,1584329315
nicoya,CR,10.15,-85.45,82.4,58,53,18.34,1584329433
rio grande,BR,-32.03,-52.1,68,100,90,11.63,1584329257
nassau,US,40.75,-73.58,45,33,1,3.36,1584329236
victoria,HK,22.29,114.16,73.99,56,20,16.11,1584328843
montrose,US,38.42,-108.27,55.4,49,1,8.1,1584329433
varzea da palma,BR,-17.6,-44.73,65.68,91,100,4.81,1584329434
inyonga,TZ,-6.72,32.07,64.98,94,100,1.41,1584329434
sioux lookout,CA,50.1,-91.92,24.8,92,90,5.82,1584329416
diffa,NE,13.32,12.61,64.06,15,29,5.99,1584329434
neepawa,CA,50.23,-99.47,24.8,92,90,14.99,1584329434
san jeronimo,PE,-11.95,-75.28,43.45,90,100,3.69,1584329434
nuevo progreso,MX,23.17,-97.95,73.99,95,6,1.01,1584329434
ust-kut,RU,56.79,105.77,29.16,89,100,11.36,1584329435
coxim,BR,-18.51,-54.76,77.9,74,99,2.26,1584329435
isla vista,US,34.41,-119.86,57.2,81,90,11.41,1584329435
tilichiki,RU,60.47,166.1,28.92,96,100,23.58,1584329435
upernavik,GL,72.79,-56.15,-22.16,78,0,6.15,1584328956
okhotsk,RU,59.38,143.3,10.83,78,21,13.06,1584329241
ketchikan,US,55.34,-131.65,44.6,64,1,14.99,1584329436
coquimbo,CL,-29.95,-71.34,60.8,87,90,4.47,1584329244
sorong,ID,-0.88,131.25,89.85,49,0,4.94,1584329346
hambantota,LK,6.12,81.12,80.6,83,24,4.7,1584328839
ulladulla,AU,-35.35,150.47,69.01,72,75,12.75,1584329436
tochigi,JP,36.38,139.73,57.99,43,75,4.7,1584329436
calabar,NG,4.95,8.32,80.28,87,11,1.1,1584329437
dumka,IN,24.27,87.25,78.84,34,62,5.86,1584329437
jiexiu,CN,37.02,111.91,53.26,20,100,8.86,1584329429
libertador general san martin,AR,-23.81,-64.79,67.62,95,87,0.38,1584329437
todos santos,MX,23.45,-110.22,70,49,75,4.38,1584329437
xichang,CN,27.9,102.26,54.79,44,0,10.09,1584329437
batagay-alyta,RU,67.8,130.41,-4.2,95,100,8.99,1584329438
alta floresta,BR,-9.88,-56.09,70.84,98,100,3.09,1584329438
baker city,US,44.77,-117.83,39.99,93,75,6.93,1584329438
smithers,CA,54.78,-127.17,28.4,42,5,3.36,1584328723
quesnel,CA,53,-122.5,21.2,53,1,2.24,1584329162
whitecourt,CA,54.15,-115.69,19.4,41,40,8.05,1584329439
emerald,AU,-23.53,148.17,84.99,45,0,12.75,1584329439
poros,GR,37.5,23.45,48.99,76,90,10.29,1584329439
oltedal,NO,58.83,6.05,41,100,75,9.17,1584329439
huarmey,PE,-10.07,-78.15,73.71,69,100,2.3,1584329439
fukue,JP,32.69,128.84,50,43,40,9.17,1584329439
muros,ES,42.78,-9.06,48.99,93,75,3.36,1584329439
nanortalik,GL,60.14,-45.24,18.41,65,19,24.92,1584328845
mokrous,RU,51.23,47.52,27.93,65,100,15.14,1584329440
pemangkat,ID,1.17,108.97,84.9,71,2,7.67,1584329332
banda aceh,ID,5.56,95.32,85.28,64,59,6.04,1584329440
veraval,IN,20.9,70.37,78.73,16,100,18.72,1584329440
sechura,PE,-5.56,-80.82,76.78,77,99,7.58,1584329440
yashalta,RU,46.34,42.28,32.34,41,100,9.93,1584329440
aksarka,RU,66.56,67.8,-6.86,80,44,8.77,1584329441
marsh harbour,BS,26.54,-77.06,72.45,73,0,10.94,1584328865
kirakira,SB,-10.45,161.92,82.31,75,100,6.67,1584329441
kjollefjord,NO,70.95,27.35,22.57,78,100,6.26,1584329441
sept-iles,CA,50.2,-66.38,14,43,90,14.99,1584329441
portland,US,45.52,-122.68,42.01,44,75,24.16,1584329205
krasnokamensk,RU,50.1,118.04,20.43,92,100,5.3,1584329441
mezen,RU,65.85,44.24,22.12,94,100,16.78,1584329442
taltal,CL,-25.4,-70.48,57.81,89,0,3.4,1584329442
puerto quijarro,BO,-17.78,-57.77,74.48,94,86,3.56,1584329442
nikolsk,RU,53.72,46.07,30.09,95,100,11.48,1584329442
ust-nera,RU,64.57,143.2,-12.82,90,86,3.96,1584329442
ust-kulom,RU,61.69,53.69,2.26,94,0,5.03,1584329442
gizo,SB,-8.1,156.84,83.79,68,98,6.85,1584329443
asha,RU,55,57.27,27.48,96,100,4.29,1584329443
varkaus,FI,62.32,27.87,34,92,90,17.22,1584329443
riacho de santana,BR,-13.61,-42.94,73.4,94,100,2.24,1584329443
katima mulilo,NA,-17.5,24.27,71.6,100,90,2.33,1584329443
pacatuba,BR,-3.98,-38.62,80.6,83,75,3.36,1584329443
hit,IQ,33.64,42.83,61.39,67,100,2.04,1584329366
patrasaer,IN,23.22,87.52,75.2,69,40,2.24,1584329444
oistins,BB,13.07,-59.53,77,78,40,8.05,1584329444
black river,JM,18.03,-77.85,75.2,69,20,5.82,1584329443
carutapera,BR,-1.2,-46.02,78.42,85,100,8.68,1584328916
leh,IN,34.17,77.58,9.41,45,0,2.68,1584329445
santa rosa,PH,14.31,121.11,84.99,66,75,8.05,1584329445
mahanje,TZ,-9.93,35.33,66.04,95,100,2.26,1584329418
lesnyye polyany,RU,55.97,37.87,25,85,0,6.71,1584329445
husavik,IS,66.04,-17.34,30.2,86,90,14.99,1584329050
mingshui,CN,36.72,117.5,60.01,29,100,3,1584329446
kalabo,ZM,-14.97,22.68,65.73,94,100,3.53,1584329446
chingirlau,KZ,51.09,54.08,30.22,58,100,11.3,1584329446
wahpeton,US,46.27,-96.61,32,87,100,12.75,1584329446
itarema,BR,-2.92,-39.92,75.02,97,100,4.07,1584329164
havelock,US,34.88,-76.9,50,71,90,18.34,1584329429
do gonbadan,IR,30.36,50.8,51.8,81,20,6.38,1584329447
ayr,GB,55.46,-4.63,41,86,40,2.24,1584329447
impfondo,CG,1.64,18.07,75.06,81,100,2.17,1584329447
fairbanks,US,64.84,-147.72,30.2,86,90,9.17,1584329345
tabou,CI,4.42,-7.35,74.95,95,100,1.74,1584329253
oksfjord,NO,70.24,22.35,23,79,88,11.41,1584329447
ekhabi,RU,53.51,142.97,5.86,89,24,14.79,1584329447
makarov,RU,48.63,142.8,21.56,56,58,15.68,1584329448
maceio,BR,-9.67,-35.74,75.2,94,90,8.05,1584329404
beloha,MG,-25.17,45.05,70.34,97,51,8.3,1584329360
zhengjiatun,CN,43.51,123.51,34.43,17,4,17.78,1584329448
birjand,IR,32.87,59.22,50,81,75,6.93,1584329448
constitucion,CL,-35.33,-72.42,53.01,80,0,5.91,1584329159
gannan,CN,47.91,123.5,22.14,69,47,5.1,1584329449
kambove,CD,-10.88,26.6,62.87,97,100,3.4,1584329449
yulara,AU,-25.24,130.99,89.6,8,0,9.17,1584329213
benghazi,LY,32.12,20.07,63,65,0,8.88,1584329449
sao cristovao,BR,-11.01,-37.21,82.4,78,40,6.93,1584329449
miandrivazo,MG,-19.52,45.47,75.4,87,4,1.41,1584329449
muisne,EC,0.6,-80.03,75.87,87,6,2.28,1584329450
camacha,PT,33.08,-16.33,60.8,72,40,13.87,1584329450
semey,KZ,50.41,80.23,35.6,80,100,8.95,1584329193
buala,SB,-8.14,159.59,83.62,75,100,9.55,1584329262
aksu,CN,41.12,80.26,48.02,21,0,6.04,1584329450
broken hill,AU,-31.95,141.43,80.6,28,40,11.41,1584329251
hopelchen,MX,19.77,-89.85,78.8,88,40,2.95,1584329450
yuzhno-sukhokumsk,RU,44.66,45.64,35.92,94,100,9.6,1584329451
teya,RU,60.38,92.63,30.18,91,100,8.63,1584329451
haverfordwest,GB,51.8,-4.97,37,91,0,9.33,1584329412
plettenberg bay,ZA,-34.05,23.37,62.04,86,92,10.36,1584329451
bull savanna,JM,17.89,-77.59,65.79,83,0,5.35,1584329451
port augusta,AU,-32.5,137.77,80.6,32,72,11.41,1584329451
santa maria,BR,-29.68,-53.81,73.4,88,75,10.29,1584329232
ende,ID,-8.84,121.66,84.45,64,9,1.41,1584329452
olafsvik,IS,64.89,-23.71,32.27,91,100,23.6,1584329274
russell,US,32.35,-85.2,71.6,64,90,5.08,1584329452
